"id","title_ru","title_ro","title_en","body_ru","body_ro","body_en","materiale_cat_id","created_at","updated_at"
"25","Авраам","Avraam","Abraham","<p><img src=""/system/images/562/large_thumb/_.jpg"" border=""0"" alt=""image"" width=""287"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Как стать другом Верного Бога - курс об Аврааме.</p>
<p>Авраам был назван ""другом Бога"". Что вы можете узнать о нем, истины, которые утвердят вашу веру, ободрят вас в ежедневном хождении с Богом и дадут надежду в будущем?</p>","<p><img src=""/system/images/497/large_thumb/1_Cover_Genesis_3_Abraham_RO_.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Cum
să devii prieten cu Dumnezeul Cel credincios - Un studiu despre
Avraam.</p>
<p>Avraam
a fost numit &bdquo;prietenul lui Dumnezeu"". Ce poți &icirc;nvăța de la
el, adevăruri care să-ți &icirc;ntărească credința, să te
&icirc;ncurajeze &icirc;n umblarea ta zilnică cu Dumnezeu și să-ți dea
speranță pentru viitor.</p>","<p><img src=""http://store.precept.org/images/Product/medium/82.jpg"" border=""0"" width=""250"" height=""250"" style=""float: left; margin: 2px;"" />How to be a friend with God?</p>
<p><span id=""result_box"" lang=""en""><span class=""hps"">Become</span> <span class=""hps"">friends with</span> the <span class=""hps"">Faithful&nbsp;</span></span><span id=""result_box"" lang=""en""> <span class=""hps"">God</span></span><span id=""result_box"" lang=""en""> <span class=""hps"">-</span> <span class=""hps"">A</span> <span class=""hps"">study of</span> <span class=""hps"">Abraham</span><span>.</span> <span class=""hps"">Abraham</span> <span class=""hps"">was</span> <span class=""hps"">called</span> <span class=""hps atn"">a ""</span><span>friend of God</span><span>""</span><span>.</span><br /><br /> <span class=""hps"">What can you</span> <span class=""hps"">learn from</span> him<span class=""hps"">,</span> <span class=""hps"">truths</span> <span class=""hps"">that</span> <span class=""hps"">strengthen</span> <span class=""hps"">your</span> <span class=""hps"">faith</span><span>,</span> <span class=""hps"">encourage</span> <span class=""hps"">your daily</span> <span class=""hps"">walk</span> <span class=""hps"">with God and</span> <span class=""hps"">give you</span> <span class=""hps"">hope for the future</span><span>?</span></span></p>","4","2010-12-27 09:24:41","2015-08-28 13:43:27"
"26","Иосиф","Iosif","Joseph","<p><img src=""/system/images/663/detail_preview/_-_.jpg"" border=""0"" alt=""image"" width=""254"" height=""338"" style=""float: left;"" />Как
сохранить равновесие, когда твои мечты
разбиты - курс изучения об Иосифе.<br /><br /> Обвиняли
ли вас несправедливо и незаслуженно?
Этот курс об Иосифе, является пособием,
которое научит вас как относиться к
подобным ситуациям. Узнайте, как,
полагаясь на Бога вы можете подняться
над трудностями.</p>","<p><img src=""/system/images/498/large_thumb/3_Iosif_RO.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Cum să-ţi păstrezi echilibrul când visurile tale
sunt spulberate - Un studiu despre Iosif.</p>
<p>Ai fost acuzat vreodată
pe nedrept sau ai fost
nedreptăţit cândva?
Acest studiu al lui Iosif
este manualul tău pentru a şti cum să abordezi astfel de situaţii.
Învaţă cum să te ridici
deasupra dificultăţilor
încrezându-te în
Dumnezeu.</p>","<div id=""gt-res-content"" class=""almost_half_cell"">
<div dir=""ltr""><span id=""result_box"" lang=""en""><span class=""hps"">How</span> <span class=""hps"">to keep your</span> <span class=""hps"">balance</span> <span class=""hps"">when</span> <span class=""hps"">your dreams</span> <span class=""hps"">are</span> <span class=""hps"">shattered</span> <span class=""hps"">- A study</span> <span class=""hps"">about</span> <span class=""hps"">Joseph.</span></span></div>
<div dir=""ltr""><span id=""result_box"" lang=""en""><span class=""hps"">Have you</span> <span class=""hps"">ever</span> <span class=""hps"">been</span> <span class=""hps"">falsely</span> <span class=""hps"">accused</span> <span class=""hps"">or</span> <span class=""hps"">have</span> <span class=""hps"">been</span> <span class=""hps"">wronged</span><span>?</span> <span class=""hps"">This study</span> <span class=""hps"">of Joseph</span> <span class=""hps"">is</span> <span class=""hps"">your</span> <span class=""hps"">manual</span> <span class=""hps"">to know</span> <span class=""hps"">how to approach</span> <span class=""hps"">such situations.</span> <span class=""hps"">Learn how to</span> <span class=""hps"">rise above</span> <span class=""hps"">difficulties</span> <span class=""hps"">trusting</span> <span class=""hps"">in God</span><span>.</span></span></div>
</div>","4","2011-01-07 20:44:21","2016-02-08 14:28:23"
"27","Второзаконие","Deuteronomul","Deuteronomy","<p><img src=""/system/images/565/large_thumb/_.jpg"" border=""0"" alt=""image"" width=""278"" height=""356"" style=""margin-left: 5px; margin-right: 5px; float: left;"" />Книга Второзаконие - благословение или проклятие? Жизнь или смерть? Ты выбираешь!</p>
<p>В течение сорока лет,
Моисей верно вел народ Божий.
И вот настало время войти
в землю, обетованную Богом,
и через Моисея Бог говорит
Своему народу, как они
должны жить в этой земле.
Откройте для себя, что Бог
ожидает от верующих сегодня,
и как нам, будучи Его детьми,
следует жить в
современном мире.&nbsp;&nbsp;</p>","<p><img src=""/system/images/499/large_thumb/5_Deuteronom_RO.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Deuteronomul - Binecuvântare
sau blestem? Viaţă sau moarte?&nbsp;Tu alegi!</p>
<p><br /> Timp de 40 de ani, Moise i-a condus
cu credincioşie pe israeliţi. În timp
ce se pregăteau să intre în Ţara
Promisă, Dumnezeu l-a folosit pe
Moise pentru a spune copiilor Săi
cum să trăiască în ţară. Descoperă
ce aşteaptă Dumnezeu de la
credincioşi şi cum trebuie să
trăim noi astăzi în lume.&nbsp;
Moise a condus cu
credincioşie pe copiii lui
Israel timp de 40 de ani.
Acum ei sunt gata să intre
&icirc;n Ţara promisă şi, prin
Moise, Dumnezeu le spune
copiilor Săi cum să trăiască
&icirc;n ţară. Descoperă ce
aşteaptă Dumnezeu de la
credincioşi şi cum trebuie ca şi copii ai Săi să ne purtăm &icirc;n această lume.</p>","<p><span id=""result_box"" lang=""en""><span class=""hps""><img src=""/system/images/194/detail_preview/Deuteronomy_EN_.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin: 5px;"" />Moses</span> <span class=""hps"">led</span> <span class=""hps"">the Israelites</span> <span class=""hps"">faithfully</span> <span class=""hps"">for 40</span> <span class=""hps"">years.</span> <span class=""hps"">Now they</span> <span class=""hps"">are</span> <span class=""hps"">ready to</span> <span class=""hps"">enter the promised land</span> <span class=""hps"">and</span><span>,</span> <span class=""hps"">through Moses</span><span>, God</span> <span class=""hps"">tells</span> <span class=""hps"">His children</span> <span class=""hps"">how to live</span> <span class=""hps"">in the promised land.</span> <span class=""hps"">Discover what</span> <span class=""hps"">God expects from</span> <span class=""hps"">believers and</span> <span class=""hps"">how</span><span>,</span> <span class=""hps"">as</span> <span class=""hps"">His children,</span> <span class=""hps"">we are to</span> <span class=""hps"">live</span> <span class=""hps"">in this world</span><span>.</span></span></p>","4","2011-01-08 17:15:04","2015-08-28 15:18:02"
"28","Книга Иисуса Навина","Iosua","Joshua","<p><img src=""/system/images/662/detail_preview/_-_-_.jpg"" border=""0"" alt=""image"" width=""253"" height=""338"" style=""float: left;"" />Книга Иисуса Навина - Победи своих врагов!</p>
<p>Господь
сказал: &bdquo;Будь тверд и мужествен. Не
страшись и не ужасайся"". Укрепи свою
веру в Бога, Который взял вас в Свою руку
и уже никогда не отпустит! Этот курс
даст вам новый прилив сил и ободрит
следовать далее на вашем пути.</p>","<p><img src=""/system/images/204/large_thumb/iosua_ro.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin: 5px;"" /></p>
<p>Iosua&nbsp;- Cucereşte-ţi duşmanii!</p>
<p>Dumnezeu
a spus: &bdquo;&Icirc;ntărește-te și &icirc;mbărbătează-te! Nu te &icirc;nspăim&acirc;nta
și nu te &icirc;ngrozi."" Mărește-ți credința &icirc;n Dumnezeu. care
te-a luat &icirc;n m&acirc;na Sa și nu te va lăsa niciodată! Acest studiu
&icirc;ți va da noi puteri și te va &icirc;ncuraja să &icirc;naintezi pe cale!</p>","<p><span id=""result_box"" lang=""en""><span class=""hps""><img src=""/system/images/205/large_thumb/Joshua_EN_.jpg"" border=""0"" alt=""image"" width=""286"" height=""370"" style=""float: left; margin: 5px;"" />God</span> <span class=""hps"">said</span><span>:</span> <span class=""hps atn"">""</span><span>Be strong and</span> <span class=""hps"">courageous</span><span>!</span> </span><span class=""verse Josh_1_9"">Do not tremble or be dismayed. </span><span id=""result_box"" lang=""en""><span class=""hps"">Increase</span> <span class=""hps"">your</span> <span class=""hps"">faith</span> <span class=""hps"">in God</span><span>,</span> <span class=""hps"">who has</span> <span class=""hps"">taken</span> <span class=""hps"">you by hand</span> <span class=""hps"">and you</span> <span class=""hps"">will</span> <span class=""hps"">never</span> <span class=""hps"">leave you</span><span>!</span> <span class=""hps"">This study</span> <span class=""hps"">will&nbsp;</span> <span class=""hps"">renew your strengh</span> <span class=""hps"">and </span><span class=""hps"">encourage you to</span> <span class=""hps alt-edited"">move forward</span><span>!</span></span></p>","4","2011-01-08 17:40:32","2016-02-23 20:41:28"
"29","1 Царств","1 Samuel","1 Samuel","<p>1 Книга Царств - Бог ищет человека по сердцу Себе. От
эпохи судей до царей, от отдаления славы
Божьей к уверенности в Его помощи эта книга контрастов показывает
насколько важно жить в послушании и как
это возможно посреди межличностных
конфликтов.</p>","<p><img src=""/system/images/163/large_thumb/1sam_ro.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin: 2px;"" /> 1 Samuel - Dumnezeu caută&nbsp;un om după inima Lui<br /><br /> De la judecători la împăraţi, de
la plecarea slavei lui Dumnezeu
la asigurarea ajutorului Său -
această carte a contrastelor ne
prezintă importanţa unei vieţi
de ascultare şi ne învaţă cum
să trăim în mijlocul conflictelor
interpersonale.&nbsp;</p>
<p>&nbsp;</p>","<p><span id=""result_box"" lang=""en""><span class=""hps"">God seeks</span> <span class=""hps"">a man after</span> <span class=""hps"">His own heart</span><span>.</span> <span class=""hps"">From</span> <span class=""hps"">judges</span> <span class=""hps"">to</span> <span class=""hps"">kings</span><span>, from</span> <span class=""hps"">the removal of</span> <span class=""hps"">God</span><span>'s glory</span> <span class=""hps"">to the safety</span> <span class=""hps"">of his help</span><span>, from</span> <span class=""hps"">guidance</span> <span class=""hps"">in</span> <span class=""hps"">search</span> <span class=""hps atn"">of God (</span><span>eg,</span> <span class=""hps"">David)</span> <span class=""hps"">to</span> <span class=""hps"">the asking og</span> <span class=""hps"">those who call</span> <span class=""hps"">the</span> <span class=""hps"">dead</span> <span class=""hps atn"">(</span><span>eg,</span> <span class=""hps"">Saul</span><span>) - This</span> <span class=""hps"">book of</span> <span class=""hps"">contrasts</span> <span class=""hps"">shows us</span> <span class=""hps"">how important</span> <span class=""hps"">a life of obedience</span> is <span class=""hps"">and how</span> <span class=""hps"">it</span> <span class=""hps"">can</span> <span class=""hps"">be lived</span> <span class=""hps"">in the midst of</span> <span class=""hps"">interpersonal conflicts</span><span>.</span></span><img src=""http://store.precept.org/images/Product/medium/70314.jpg"" border=""0"" alt=""1 Samuel"" width=""250"" height=""324"" style=""float: left; margin: 2px;"" /></p>","4","2011-01-08 17:43:20","2015-07-17 07:35:32"
"30","2 Царств и 1 Паралипоменон","2 Samuel și 1 Cronici","2 Samuel and 1 Chronicles","<p><img src=""/system/images/568/large_thumb/2_1_.jpg"" border=""0"" alt=""image"" width=""278"" height=""373"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />2 Царств и 1 Паралипоменон</p>
<p>Жизнь Давида - человека по сердцу Божьему. Последуйте вместе с Давидом, человеком по ""сердцу Бога"", восходя на трон, а затем падая в грех. Бог, Который остается верен завету поднимает человека от самых тяжких грехов и возводит к победному концу.&nbsp;</p>","<p><img src=""/system/images/500/large_thumb/10_2_Samuel_si_1_Cronici_RO.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />2 Samuel şi 1 Cronici<br /> Viaţa lui David - Un om după
inima lui Dumnezeu
Urmăreşte-l pe David, un&bdquo;om
după inima lui Dumnezeu"",
urcând pe tron şi apoi căzând în
păcat. Vezi cum Dumnezeul care
Îşi ţine legământul întoarce un
om de la cele mai rele păcate şi îl
conduce spre un sfârşit victorios.&nbsp;</p>
<p>&nbsp;</p>","<p><span id=""result_box"" lang=""en""><span class=""hps alt-edited"">The Life of</span> <span class=""hps"">David</span><span>,</span> <span class=""hps"">a man after</span> <span class=""hps"">God's heart</span><span>.</span><br /><br /> <span class=""hps"">How to</span> <span class=""hps"">prepare for</span> <span class=""hps"">eternity</span> <span class=""hps"">with Jesus</span> <span class=""hps"">Christ</span><span>?</span> <span class=""hps"">Study</span> <span class=""hps"">the hard</span> <span class=""hps"">way</span> <span class=""hps"">that</span> <span class=""hps"">David</span> <span class=""hps"">had to</span> <span class=""hps"">walk</span> <span class=""hps"">until he</span> <span class=""hps"">came to</span> <span class=""hps"">the throne</span> <span class=""hps"">and reign</span><span>.</span> <span class=""hps"">This course</span> <span class=""hps"">wil</span></span><span id=""result_box"" lang=""en"">l <span class=""hps"">surely</span></span><span id=""result_box"" lang=""en""><span class=""hps""> </span><span class=""hps"">strengthen</span> <span class=""hps"">your</span> <span class=""hps"">faith in</span> <span class=""hps"">our God</span> <span class=""hps"">that</span> <span class=""hps"">does not change</span> <span class=""hps"">and</span> <span class=""hps"">keeps His</span> <span class=""hps"">covenant</span><span>.</span> <span class=""hps"">(8</span> <span class=""hps"">lessons)</span></span></p>","4","2011-01-08 19:55:54","2015-08-28 19:20:21"
"31","Книга пророка Даниила","Daniel","Daniel","<p><img src=""/system/images/661/detail_preview/_.jpg"" border=""0"" alt=""image"" width=""269"" height=""338"" style=""float: left;"" />Даниил - Проводите жизнь, сохраняя библейский взгляд на жизнь и вы хорошо поймете последние дни. Под угрозой смерти, Даниил остался твердым в своих убеждениях и отказался вести греховный образ жизни. Как вы живете, подобнго Даниилу в последние дни? Как обрести храбрость, чтобы быть отличным от других. Как достичь познания Всемогущего Бога? Изучите книгу пророка Даниила и вы получите ответы!</p>","<p><img src=""/system/images/501/large_thumb/17_Daniel_RO.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Daniel - Trăieşte având o
concepţie biblică despre viaţă şi
vei înţelege zilele de pe urmă. Ameninţat cu moartea, Daniel a
rămas ferm în convingerile sale şi
a refuzat un mod de viaţă păgân.
Cum trăieşti ca Daniel în aceste
zile? Cum poţi obţine curajul de a
fi diferit? Cum ajungi să-L cunoşti
pe Dumnezeul Cel Atotputernic?
Studiază cartea Daniel şi vei afla
răspunsurile!&nbsp;</p>","<p><span id=""result_box"" lang=""en""><span class=""hps""><img src=""/system/images/189/large_thumb/Daniel_EN_part_1.jpg"" border=""0"" alt=""image"" width=""285"" height=""370"" style=""float: left; margin: 5px;"" />Are you </span><span class=""hps"">discouraged by the</span> <span class=""hps"">international tensions</span><span>, terrorism</span> <span class=""hps"">and</span> <span class=""hps"">moral decay</span> <span class=""hps"">of society</span><span>?</span> <span class=""hps"">Daniel</span> <span class=""hps"">lived</span> <span class=""hps"">as a prisoner</span> <span class=""hps"">of war</span> <span class=""hps"">in</span> <span class=""hps"">a foreign country</span><span>,</span> <span class=""hps"">but had</span> <span class=""hps"">a lasting impact</span> <span class=""hps"">not only on</span> <span class=""hps"">his people,</span> <span class=""hps"">but also on</span> <span class=""hps"">his enemies</span><span>, because</span> <span class=""hps"">He met</span> <span class=""hps atn"">El-</span><span>Elion</span></span></p>","4","2011-01-11 12:27:04","2016-02-23 20:40:38"
"32","Послание к Филиппийцам","Filipeni","Philippians","<p><img src=""/system/images/660/detail_preview/_-_-_.jpg"" border=""0"" alt=""image"" width=""253"" height=""338"" style=""float: left;"" />Послание к Филиппийцам. Окружающие обстоятельства лишают вас мира? Возможно ли радоваться, проходя страдания? Откройте для себя источник, который побеждает все преграды и трудности жизни.&nbsp;</p>","<p><img src=""/system/images/505/large_thumb/26_Filipeni_RO.jpg"" border=""0"" alt=""image"" width=""278"" height=""366"" style=""float: left; margin-left: 5px; margin-right: 5px;"" />Filipeni - Cum să te bucuri.&nbsp;Îţi afectează circumstanţele
pacea? Este posibil să te bucuri
atunci când suferi? Descoperă
Sursa puterii care învinge orice
obstacol şi dificultate a vieţii.&nbsp;</p>","<p><span id=""result_box"" lang=""en""><span class=""hps"">How</span> <span class=""hps"">to</span> <span class=""hps"">live my</span><span class=""hps""> Christian life rejocing</span><span>,</span> <span class=""hps"">regardless of</span> <span class=""hps"">circumstances</span> <span class=""hps"">and</span> <span class=""hps"">people's</span> <span class=""hps"">attitude</span> <span class=""hps"">toward me</span><span>?</span> <span class=""hps"">What</span> <span class=""hps"">is the purpose of</span> <span class=""hps"">suffering</span><span>?</span> <span class=""hps"">What is the</span> <span class=""hps"">Christian</span> <span class=""hps"">perspective</span> <span class=""hps"">on</span> <span class=""hps"">death</span><span>?</span> <span class=""hps"">Do </span><span class=""hps"">I have the&nbsp;</span><span class=""hps"">""mind of</span> <span class=""hps"">Christ</span><span>""</span><span>?</span> <span class=""hps"">Discover</span> <span class=""hps"">true</span> <span class=""hps"">and profound</span> <span class=""hps"">joy</span> <span class=""hps"">in your life</span><span>, joy</span> <span class=""hps"">that the world</span> <span class=""hps"">can</span> <span class=""hps"">not give you!</span></span></p>","4","2011-01-11 12:43:23","2016-02-08 14:24:25"
"33","Евангелие от Иоанна ч. 1","Evanghelia după Ioan, partea 1","Gospel of John p. 1","<p>Евангелие от Иоанна - Слово стало Плотью. Иисус, Свет миру.<br /> (Ев. от Иоанна 1-11)</p>
<p>Насколько
хорошо вы знаете Сына Божьего? Вы
убеждены, что все сказанное Им о Себе
это истина? От начала и до конца, Иоанн
открывает нам Иисуса как Сына Божьего.&nbsp;<br /><br />Вторая
часть. Иисус отделяет Своих учеников,
чтобы подготовить их к тому, что должно
произойти вскоре. Главы 12-21 повествуют
о смерти, погребении и воскресении
Христа, а также о том, какое значение
это оказывает на нас.</p>","<p><img src=""/system/images/515/large_thumb/20_Ioan1-11_RO.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-right: 5px; margin-left: 5px;"" /></p>
<p>Evanghelia după Ioan&nbsp;- Cuvântul S-a făcut trup.<br /> Isus, Lumina lumii<br /> (Ioan 1-11)<br /> Cât de bine Îl cunoşti pe Fiul lui
Dumnezeu? Eşti convins că ceea
ce a spus El despre Sine este
adevărat? De la început până la
sfârşit, Ioan ni-L descoperă pe
Isus ca Fiul lui Dumnezeu.&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>","<p><span id=""result_box"" lang=""en""><span class=""hps""><img src=""/system/images/200/large_thumb/John_part_1_EN_.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin: 5px;"" />The first part</span><span>.</span> <span class=""hps"">How well do you</span> <span class=""hps"">know God</span><span>?</span> <span class=""hps"">Are you</span> <span class=""hps"">convinced that</span> <span class=""hps"">what He says</span> <span class=""hps"">about</span> <span class=""hps"">Himself is</span> <span class=""hps"">true?</span> <span class=""hps"">From</span> <span class=""hps"">start to finish</span><span>,</span> <span class=""hps"">John</span> <span class=""hps"">reveals</span> <span class=""hps"">to us</span> <span class=""hps"">Jesus as</span> <span class=""hps"">the Son of</span> <span class=""hps"">God,</span> <span class=""hps"">nezeu</span><span>.</span> <span class=""hps"">Learn</span> <span class=""hps"">from</span> <span class=""hps"">John</span> <span class=""hps"">Chapters</span> <span class=""hps"">1-11</span> <span class=""hps"">to</span> <span class=""hps"">walk in</span> <span class=""hps"">Jesus as</span> <span class=""hps"">the Light</span> <span class=""hps"">of the world</span><span>,</span> <span class=""hps"">and</span> <span class=""hps"">your relationship</span> <span class=""hps"">with Him</span> <span class=""hps"">will become</span> <span class=""hps"">much closer</span><span>.</span><br /><br /> </span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><span id=""result_box"" lang=""en""><span class=""hps""><br /></span></span></p>","4","2011-01-11 12:49:35","2015-07-20 06:13:18"
"34","2-е послание к Фессалоникийцам","2 Tesaloniceni","2 Thessalonians","<p><img src=""/system/images/183/large_thumb/2_Thessalonians_RU_.jpg"" border=""0"" alt=""image"" width=""264"" height=""370"" style=""float: left; margin: 5px;"" /></p>
<p>2 Фессалоникийцам - Дабы никто не обольстил вас о Пришествии Господа.</p>
<p>В Фессалоникийской церкви доминировало заблуждение в отношении последних дней, до тех пор, пока они не получили послание Апостола Павла, которое внесло ясность и принесло им утешение. Изучите этот курс, чтобы знать то, что говорит Бог о ""Дне Господнем"".</p>","<p><img src=""/system/images/520/large_thumb/29_2_Tesaloniceni_RO.jpg"" border=""0"" alt=""image"" width=""278"" height=""370"" style=""float: left; margin-left: 5px; margin-right: 5px;"" /></p>
<p>2 Tesaloniceni - Ca nimeni&nbsp;să nu te amăgească cu privire la
venirea Domnului<br /> În Biserica din Tesalonic a domnit
confuzia cu privire la zilele de pe
urmă până când scrisoarea apos-
tolului Pavel le-a adus mângâiere
şi claritate. Studiază această carte
ca să înţelegi tu însuţi ce spune
Dumnezeu despre&bdquo;ziua Domnului"".&nbsp;</p>","<p><span id=""result_box"" lang=""en""><span class=""hps""><img src=""/system/images/185/large_thumb/2_Thessalonians_EN_.jpg"" border=""0"" alt=""image"" width=""286"" height=""370"" style=""float: left; margin: 5px;"" />Do not be</span> <span class=""hps"">confused</span> <span class=""hps"">regarding the</span> <span class=""hps atn"">""</span><span>Day of the Lord</span><span>""</span><span>.</span> <span class=""hps"">Like</span> <span class=""hps"">us,&nbsp;</span> <span class=""hps"">today's </span></span><span id=""result_box"" lang=""en""><span class=""hps"">Christians</span></span><span id=""result_box"" lang=""en""><span class=""hps"">,</span> <span class=""hps"">Thessalonians</span> <span class=""hps"">were</span> <span class=""hps"">interested in</span> <span class=""hps"">the last days</span><span>.</span> <span class=""hps"">But</span> <span class=""hps"">they did not</span> <span class=""hps"">know what to</span> <span class=""hps"">think</span> <span class=""hps"">about</span> <span class=""hps"">those days</span> <span class=""hps"">until</span> <span class=""hps"">they</span> <span class=""hps"">received this</span> <span class=""hps"">letter from</span> <span class=""hps"">Paul.</span> <span class=""hps"">Include</span> <span class=""hps"">this book</span> <span class=""hps"">in</span> <span class=""hps"">your</span> <span class=""hps"">study</span> <span class=""hps"">of</span> <span class=""hps"">the prophets</span> <span class=""hps"">to understand</span> <span class=""hps"">clearly</span> <span class=""hps"">what God says about</span> <span class=""hps"">the last days</span><span>.</span></span></p>","4","2011-01-11 12:55:08","2015-07-20 07:29:15"
